Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
George Imafidon,Male,2023-08-27,"Grateful to be recognised by The Black British Business Awards and Barclays as one of the rising entrepreneurs in the UK! 🏆When I first started shaping my career, I knew I had a big challenge ahead of me combining purpose, entrepreneurship, and engineering.Fast forward almost a decade later, and staying true to that vision has helped thousands of young people to break into the STEM space 👩‍💻 I’m thankful to everyone who has supported the Motivez journey over these past 8 years 🚀 Entrepreneurs and engineers can come from anywhere - and they look like us 💪🏾Looking forward to the finals in October and wishing good luck to all the incredible nominees!The marathon continues 🏁#TheKidFromPeckham #MotivezMindset #STEM",849,113,8,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
George Imafidon,Male,2023-04-27,"WE DID IT! Completed my 1st LONDON MARATHON with 42.2km in the bag!! ✅🏅The journey was TOUGH from start to finish. From enjoying far too much pounded yam and jollof (the real one) in Nigeria 🇳🇬, to falling pretty ill RIGHT BEFORE marathon day, I stepped into this marathon with one goal in mind - just get it done 🏁Thankfully the first half was comfortable, but the 2nd half is where is all started going left. From missing re-fuel stops and cramps kicking in, there were definitely some points I thought I was a goner 😅 Can’t thank my Nov Run Club family, friends and the crowd enough for coming out with the good vibes and keeping me going ❤️👏🏾As a result, I will definitely be wearing this medal for the next MONTH, respectfully 😌We may have finished this marathon, but the real marathon continues 🏁 #TheKidFromPeckham #MotivezMindset #LondonMarathon #Running",813,118,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
George Imafidon,Male,2024-03-27,"It’s my birthday! 🎉🎉Feeling blessed to celebrate this new chapter in Jamaica! 🇯🇲 Grateful to God for the man I’m becoming and the lives I get to impact ❤️ It’s been a blessing to see this mission of ‘making STEM sexy’ unfold whilst bringing my love for serving and motorsport together as a humanitarian engineer - just look at everything we’ve achieved in such a short time!!🏎️ 🌎 🤯  I hope I have, in some small way, helped you to keep up the hope 🙏🏾 I know that kid from Peckham would be smiling from ear to ear right now because we’ve come a LONG way…  The marathon continues 🏁  #TheKidFromPeckham #BirthdayMonth",722,128,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
George Imafidon,Male,2023-10-27,"Popped over to Downing St. yesterday to celebrate Black History Month 👌🏾Randomly bumped into a young lady that joined the Motivez Application Season programme when we first launched it back in 2020!She spoke about it how it changed her life back in COVID - and how she went from feeling lost with no guidance to an internship at Lazard to landing her dream placement at Unilever 👏🏾 It’s always been about creating priceless moments like these! ❤️If you know anyone else like her still looking to get those dream jobs in STEM and beyond, tell them to sign up to the FREE Application Season Programme - 50% of the spaces are already gone and the deadline is this SUNDAY 🚀 - link in first comment! 👇🏾 The marathon continues 🙏🏾#TheKidFromPeckham #MotivezMindset #ApplicationSeason #DayInALife",715,43,15,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
George Imafidon,Male,2023-11-27,"Allow me to re-introduce myself! 👀My LinkedIn community has grown a lot over the past few months, here’s a re-introduction - especially to those of you who are new.👋🏾 Hi, I’m George! I’m a humanitarian engineer, entreprenuer and speaker passionate about making STEM roles more accessible to ALL young people and building more purposeful leaders. 🔧 From age 7, I became pretty obsessed with building things. I grew up fixing the bikes of my friends in my local community in Peckham, South London, and since then I’ve been creating solutions for underserved communities and worked around the world firms such as Google, McKinsey & Company, Prodrive and Rolls-Royce where, through designing a novel component, I managed to save them over £50 million.❓ I co-founded Motivez alongside Muizz and over the last 8 years our company has directly trained and supported 9,000+ young people to access entry-level STEM jobs. We work with some of the world’s biggest brands on our grassroots, employability and advocacy programmes and have been backed by the likes of Idris Elba, Beyoncé and most recently The Royal Family with funding and an MBE for services to STEM and young people. 🏎️ I eventually traded working on the two wheels for the four wheels, and now work as a Race Engineer for Lewis Hamilton’s electric race team, TEAM X44.🌍 I’ve been working on sustainable solutions to the world’s most pressing challenges through engineering and tech for over a decade. 🤝 My roles extend to the governance level after joining Lewis Hamilton in 2020 on the Board of The Hamilton Commission to improve representation in STEM and becoming a trustee for the Co-op Foundation. It’s been a privilege to raise and distribute millions of pounds for young people.🏃🏾‍♂️ You can often find me running and I’ve done a few marathons to support some amazing causes in the UK and Nigeria 🇳🇬 💡 Linkedin has been a key platform for me over the years to inspire, share the journey, and send the ladder down through connecting with you all.Thank you all for the warm messages, engagement and constant encouragement. It doesn’t go unnoticed!Now it's your turn! Don’t be a stranger, tell me about yourself, let's explore if we can build together as we plan for 2024 😊 The marathon continues 🏁#TheKidFromPeckham #MotivezMindset #STEM",699,83,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
George Imafidon,Male,2023-06-27,"A huge thank you to HSBC UK and UKBBS for the recognition of Top Black Entrepreneurs to Watch this year!! 🏆Forever grateful to my team and every one of you that’s supported the Motivez journey over the last 8 years ❤️Hopefully I can inspire many others to know that they belong in the STEM space too - entrepreneurs, engineers and technologists can come from anywhere, and they look like us 💪🏾Check out the full list on UK Black Business Show website 🗞️ The marathon continues 🏁#TheKidFromPeckham #MotivezMindset #STEM #Entrepreneurship #GodDid",682,85,11,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
George Imafidon,Male,2023-07-27,"WE DID ITT!! “The BEST conference The Amos Bursary has ever had”! ✅ 🎉 When I became an AB Scholar in 2014 and attended the first summer conference, I could have never imagined what we could all achieve together 💭 One of my dreams to give back was that one day I’d be able to create that same experience for hundreds of other young people ❤️9+ years later, Isaiah and I co-curated this years conference with a phenomenal team! The theme was: ‘DISRUPTION: Steps for Radical Change’ 🚀🙌🏾We assembled some of the best disrupters across the UK to share their invaluable insights on how we can make a greater impact in our respective industries 💎From the whole AB family, I want to say a massive thank you for being part of life-changing experience. Forever grateful for your time and I can’t wait to see the impact you all go onto make.Special S/O to our phenomenal guest speakers Valerie Amos, Sara Rankin, Lavinya Stennett FRSA, Sophia Thakur, Courtney Daniella Boateng & Renée Kapuku, Kenny Imafidon, Hannah Awonuga, Tom Hulme, Lex Fefegha, Wilfrid Obeng, Joseph Zeal Henry and Clint 419 🔥 The MARATHON continues 🏁#TheKidFromPeckham #MotivezMindset #Disruption #ABConference2023 #STEM",644,77,21,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
George Imafidon,Male,2023-08-27,"I just delivered the Commencement Speech at the Graduation Ceremony for the Hult International Business School Postgrads! 🎉🎓It was a blessing to speak to 900+ graduates and guests from 60+ countries about finding purpose through serving their way to the top in their respective fields 🚀 It’s something I’ve personally been able to find throughout the Motivez journey and my mission as a humanitarian engineer 🌍 Massive congrats to the CLASS OF 2023 and I hope you all press on with purpose in this new beginning 🙌🏾“What people say about you when you leave, is a testament to the legacy you leave behind!” 🙏🏾The marathon continues 🏁 P.S. Honorary doctorate on the way 👨🏾‍🎓👀#TheKidFromPeckham #MotivezMindset #Graduation #Speaking",569,61,7,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
George Imafidon,Male,2023-09-27,All it takes is ONE opportunity to turn things around!! 🏆🍾You’ll always have more losses than wins - it comes with the territory. Don’t give up in the middle 🙏🏾The marathon continues 🏁 #TheKidFromPeckham #MotivezMindset #SustainableMotorsport,546,36,6,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
George Imafidon,Male,2023-04-27,"MY FIRST RACE WIN AS THE RACE ENGINEER WITH TEAM X44!! 🏆🏎️ So much work goes into moments like this, so a huge shoutout to the legendary drivers and team for winning our homecoming race 🇬🇧👏🏾 This was definitely a rollercoaster weekend and we didn’t get the result we wanted at the end of the double-header but that’s motorsport - plenty positives and lessons learned 🙏🏾Grateful we could wrap up round 3 on the top step of the podium and get our first trophy for the season in Scotland🥇The Extreme E championship fight is looking tighter than ever with 6 races to go! We go again in Sardinia in a few weeks 🇮🇹⚡️ For now, I’ll be sleeping with these trophies until further notice 😅The marathon continues 🏁#TheKidFromPeckham #MotivezMindset #YoungEngineerOfTheYear #SustainableMotorsport #STEM",505,91,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABT8qLUBnXxI7bgptgkBdCqFh87WJuzBa_8&keywords=george%20imafidon%20mbe&origin=CLUSTER_EXPANSION&position=0&searchId=0f5ef151-d99e-4b8c-a14b-4b1678762f1b&sid=DxW&sortBy=%22date_posted%22
