Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Lauren Maillian ,Female,2024-01-27,"Mommy and mini did a thing! ❤️This time two weeks ago, I was returning from my first ever girls trip with my mini-me. We went back to New York to see friends, eat our favorite foods and get our hair done. 💞🍽️💇🏽‍♀️ Then, Aspen to see friends, get the best snow and ski! 🎿 ⏭️ ATL to see friends and discover a new favorite brunch place! 10/10 recommend that you get 1-1 time with your teens when you have kids this big! ✨Seeing the world through the lens of my teenaged daughter - basically what’s hot and what’s not -  car rides spent singing songs, wheels up every few days to a new city, great meals in restaurants she could appreciate, unforgettable experiences and curated playlists as envisioned by Chloe for 8 days was an amazing way to kickoff 2024! Our boys stayed home and got to bond with each other too, and Robert taught Jayden how to cook some fancy meals using the stove and oven (moms with high school boys know how big of a deal it is to move on from the air fryer! LOL). Gotta say, after taking Jayden to ATL for our 1-1 trip in November, that traveling and bonding with your kids is kinda the coolest thing to do ever. And, as a marketer and media exec, many thanks to my Chloe for the trend spotting and social insights! I got some campaign ideas thanks to my mini too! ❤️#HappyNewYear #WorkingMoms #Aspen #NewTraditions #Travel #MiniAndMe #Adventures #MomentsThatMatter #ThePathRedefined #WorkLifeHarmony",240,32,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
Lauren Maillian ,Female,2023-10-27,"Thank you to The Female Quotient for continuing to push for women to have space at industry leading conferences and for including me in Advertising Week  programming this year. For the first time women represent 51% of CMOs. But we have work to do. In advertising, women represent just 35.3% of creative directors and only 1% of agency owners. It’s time to raise the profiles of women in advertising.I joined The Female Quotient’s #EqualityLounge at Advertising Week 2023 with some inspiring leaders and together we’re changing the equation and closing the gender gap.It was amazing to share the stage with such an esteemed panel of powerful women in media, marketing and advertising;● Diana Haussling, SVP, GM, Consumer Experience & Growth, Colgate-Palmolive● Neda Whitney, Chief Marketing Officer, Ring Concierge● Heather Malenshek, Chief Marketing Officer, Land O'Lakes, Inc.● Michelle Wong, Chief Marketing Officer, Sprinkles● Lauren Maillian, President, Digital Innovation, Hero Media Inc.  💁🏽‍♀️● Moderated by Anna Palmer, Founder and CEO of Punchbowl News Shelley Zalis huge congratulations to you! 🎉 Catch the replay from the livestream on my LinkedIn page or the FQ.#Marketing #Media #Advertising #WomenLeaders #WomenInBusiness #HeroMedia #AdvertisingWeek #ThePathRedefined",225,16,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
Lauren Maillian ,Female,2023-10-27,"Wheels down: New York City for Advertising Week! Can’t wait to see my fellow industry folks this week. I’m speaking at The Female Quotient tomorrow, Tuesday 10.17 at 9:30am for a conversation in the #EqualityLounge on Women’s role as leaders in the Big Stay. Also decided it was time to start using the new headshot. Same me, but the multi-hyphenate chameleon version! 💁🏽‍♀️#MondayMotivation #WomenInBusiness #WomenLeaders #Media #Tech #Marketing #AdvertisingWeek PC: Marta Skovro",220,34,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
Lauren Maillian ,Female,2023-09-27,"Spent the weekend in Atlanta and graced the stage at REVOLT World today with Esosa Johnson, Regina Gwynn and Sequoia Blodgett!We covered all things Black Women Talk Tech and what it really takes to build a billion dollar business and gain investor confidence. 💥#Tech #Innovation #Entrepreneurship #ForTheCulture #Atlanta #RevoltWorld",219,9,6,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
Lauren Maillian ,Female,2023-04-27,Excited for this next chapter as President of Digital Innovation at Hero Media Inc.!Thank you for the warm welcome Joseph Anthony! Let’s gooooo!,209,53,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
Lauren Maillian ,Female,2023-06-27,"This year, we traded in 4th of July BBQ’s for lobster pappardelle pasta, seafood risotto and branzino on the French Riviera!We hope you had a great long weekend. Monte Carlo, you never disappoint. Rampoldi thank you for a lovely family dinner! ❤️#FamilyTime#FamilyAdventures#France#FoodieLife#MonteCarlo#4thofJuly #WorkingMom #ThePathRedefined",198,24,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
Lauren Maillian ,Female,2023-04-27,"Women from around the world came together to change the world. 🌍 Inspired by our #CWI23 Fellows who exemplify being #ForcesForGood and honored to support the Cartier Women's Initiative as a Jury Member. 💫Congratulations to our #DEI Fellows Blake Van Putten of CISE for the 1st place award, and our 2nd and 3rd place honorees Dr. Ishani Roy of Serein and Chengchuan Shi  of Voibook for your determination and fearless leadership to drive impact and social good. 🙌🏾🙌🏾🙌🏾This is impact at a truly global scale that spans countries, cultures, issues and industries. 🫶🏾Great seeing friends and colleagues in #Paris #MakeADifference#SocialImpact#WomenLeaders#WomenInBusiness#Diversity#Inclusion#ChangeAgent#Entrepreneurship#FemaleFounders#ThePathRedefined",188,28,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
Lauren Maillian ,Female,2023-09-27,"Last week I traveled 14 hours to spend one incredible day in San Francisco to be with the extraordinary women of Black Women On Boards at our annual summit!#BWOBsummit was full of critical conversations on all things board service, governance and navigating leadership at the top while walking in our shoes. 😉👠The conversation with Kerry Washington on her career and new memoir, Thicker Than Water, was a surprise that inspired new perspective on who gets to be the lead character in your lifeThank you Merline Saintil and Robin Washington for building this incredible community and for a great summit. Wearing a custom suit by Chloe Krystin purchased at Debra Carrington’s boutique during our OnBoard The Film retreat this summer in #PalmSprings. How we show up is half of the battle and this suit was perfect for the weather and my mood!! 💃🏽A big thank you to Salesforce  for hosting us again this year, for those insane views from the tower’s 61st floor and the most delicious healthy lunch!#WomenLeaders #SiliconValley #WomenInBusiness #BlackWomen #BlackWomenOnBoards #ThePathRedefined",186,19,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
Lauren Maillian ,Female,2023-04-27,Last week’s quick trip to NYC included time well spent at the Worth Media Group’s Women and Worth Conference! I walked in with Stacey Abrams before she took the stage and we chatted about resilience and driving measurable change. Clyde Lee you did an incredible job! #WomenLeaders#WomenInBusiness#MakeAnImpact#WomenAndWorth,182,15,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
Lauren Maillian ,Female,2021-04-27,"As I reflect on what inspires me to make history and what women are inspired by as we keep advocating for change, this is what has always made me want more for myself and why I believe in the power of women and our ability to win. In dedication to my mama and all that she instilled in me to believe in my power and purpose.#WomensHistoryMonth",177,17,8,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAAJ5V3ABY_CuyDBMHONPLrxkcX5KmTlPSyQ&keywords=lauren%20maillian&origin=CLUSTER_EXPANSION&position=0&searchId=9ecbb674-cdae-4def-8b8f-22f3d1e10e0e&sid=x7K&sortBy=%22date_posted%22
