Author,Gender,Date,Post Text,Likes,Comments,Shares,Page Link
Jason Mayden,Male,2023-11-27,"I’m thankful for life today. So much is going on in the world. People are hurting, society is at odds with itself and the gap between haves and have nots continues to increase. But still, the laughter of my nieces and nephews brings me pure joy. The hugs of my parents and the warm smiles of my siblings give me peace. The beauty and strength of my wife and the grace and maturity of my children give me hope. Regardless of where you are in the world, or what you have going on today, try to find beauty in the moment. The world didn’t give you your joy and the world shouldn’t take it away. If you haven’t heard it today, you are loved. God bless you all. #Thankful#Grateful#GodIsGrand",140,14,2,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
Jason Mayden,Male,2023-04-27,"I have so much to say but I’ll let this press release speak for me. The work I’ve done is not just to help others, it helped me primarily. Please take a moment and check out the link. If you feel inspired, please signup for the newsletter, share with your network and come by next week when I unveil the work. 🙏🏾🙏🏾🙏🏾",128,11,14,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
Jason Mayden,Male,2023-05-27,"#Juneteenth2023 @Lockerverse announcement・・・Today, as we celebrate Juneteenth, a day of liberation and resilience, Lockerverse is thrilled to unveil a groundbreaking partnership with designer and Trillicon® CEO, @jasonmayden. In the spirit of this historic day, we bridge the past and the future by introducing digital collectibles from Mayden's critically acclaimed ""Boys Break Too"" exhibition - an embodiment of strength and identity.Jason Mayden, renowned for his revolutionary work in the footwear industry and as the mastermind behind Super Heroic, skillfully merges creativity, storytelling, and cultural significance in his designs. His ""Boys Break Too"" exhibition illuminates themes of resilience and self-expression, inspiring young boys to challenge societal expectations and embrace their unique selves.The exclusive digital collectibles provide an insightful exploration of race, gender, and mental health, drawn from Mayden's personal journey as a Black man navigating these complex issues. Each piece stands as a testament to authenticity and the transformative power of self-expression.Mark your calendars! Beginning Monday, July 17, 2023, these exclusive digital collectibles from Jason Mayden's ""Boys Break Too"" exhibition will be accessible for acquisition on the Lockerverse platform. We invite you to join us in this unparalleled convergence of art, fashion, and technology as we continue to mold the future of the internet.#Lockerverse #JasonMayden #BoysBreakToo #Juneteenth #DigitalCollectibles",125,4,6,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
Jason Mayden,Male,2023-11-27,"I was raised by a warrior. A man of honor who stands for justice, equality and fairness. A true soldier that never ran, and never will. I was shown commitment, sacrifice and loyalty. I was taught to never tolerate sucka s—t and to be kind to everyone. I was taught to defend myself, physically, spiritually, intellectually and emotionally. I was raised by an US Army, Man. Thank you Pops Albert C. Mayden Jr. for your service. It’s because of you that I am who I am. Any company would be lucky to have you as part of their leadership team. Can’t wait to see where you land. You deserve the world and more. Love you to life. Sending love to all veterans, here and abroad. 🫡 🇺🇸 #RaisedByARealOne#GodMadeMe#SouthsideRaisedMe#WildWild100s#VeteransDay",119,5,0,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
Jason Mayden,Male,2023-04-27,"Jason Mayden + Trillicon Valley Present: Boys Break Too: Exploring intersections of Race, Masculinity, and Mental HealthCurated by Anefertiti BowmanPublic Opening ReceptionMay 26th, 2023Doors Open at 7pmCollection Reveal at 8pmEvening Concludes at 11pmCommunity DayMay 27th, 2023Doors Open at 12pmLecture and Q&A at 130pmEvening Concludes at 7pmShow Gallery 1515 N Gardner StreetLos Angeles, CA 90046Powered By:soLAContemporarywww.solacontemporary.org",111,7,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
Jason Mayden,Male,2023-07-27,"In the intricate dance of culture and style, Michael Jordan and hip-hop move in harmonious synchrony, their stories echoing and amplifying each other's impact on culture. This article delves deep into the intertwined narratives of basketball's greatest icon and hip-hop's transformative influence. From Spike Lee's cinematic genius that immortalized Air Jordans, to the soulful resonance of Mos Def's ""Umi Says"" in Jordan campaigns, and the trailblazing sneaker collaborations of hip-hop luminaries like Wale, Kanye West, Drake, and Travis Scott, we explore the symphony of design and rhythm. Dive in to discover how the Jordan brand, with its iconic designs, captures the essence of hip-hop's lyrical stories, crafting a legacy that continues to inspire generations. #HipHop50 #WeAreTrillicon",109,15,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
Jason Mayden,Male,2024-01-27,👀,106,5,6,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
Jason Mayden,Male,2024-02-27,"Bryan Brown is my big homie, educational advocate and the man that taught me how to screen educators/schools to determine if the pedagogical model and learning environment was fruitful for my children and their psychological, emotional and cultural development. He earned this endowed chair. No hand outs or false appointments in my tribe. Everything that we have achieved has come from our dedication, perseverance and preparation. Not from a spirit of entitlement. We’ve earned it all. Keep climbing big bro. This is historic and it’s about time!!! 💪🏾💪🏾💪🏾",102,21,3,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
Jason Mayden,Male,2023-11-27,"Excited to announce ComplexCon Hong Kong taking place on March 22-24, 2024. Trillicon Valley and Complex Chinese have been hard at work the last few months creating something special for the culture. It’s imperative that in times like these we celebrate shared common interest. Can’t wait for you all to experience the new wave. 🌊💪🏾✊🏾🖤#WeAreTrillicon #FromChicagoToTheWorld 🌎 #Repost Complex Chinese Bonnie Chan Woo・・・備受全球潮人注目，全美最大的潮流嘉年華 ComplexCon 即將首度空降亞洲並登陸香港！被喻為全球潮流盛事的 ComplexCon，將在會場帶來音樂、時尚、運動、潮流、藝術、美食等多個不同領域的多元化活動，並會帶來會場限定單品。晚上更會舉辦演唱會，將為各位帶來國際性重量級表演嘉賓，各位潮人絕對不能錯過！ComplexCon 香港舉辦日期為 2024 年 3 月 22-24 日，立即進入專屬官網 https://lnkd.in/gHYyywnZ 登記，獲取最新消息及購票詳情！ -#complex中文 #complexchinese #complex #ComplexConHK #ComplexConHK24 #ComplexConHKShow #ComplexConHKLIMITED #ComplexConHKSHOP #ComplexConHKFOOD #complexpeople",102,9,1,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
Jason Mayden,Male,2023-05-27,"As the work continues to pick up momentum and interest, we continue to look for sponsors/partners to help tour the Boys Break Too experience. If you’re a global brand or know of a brand that is interested in the conversation of mental health, well-being, fashion, tech and  culture — with a specific emphasis on Black & Brown men and boys, then I’d love to chat. Each experience aka “unveiling” is accompanied by a playing of the anthem “Boys Break Too” followed by a lecture where I unpack the nuance of each piece and bring words to difficult topics such as intergenerational trauma and how modern masculinity is deeply connected to productivity/careers as an indicator of our worth in society. It’s more than an art show. It’s a conversation intended to catalyze collective healing and amplify the power of community. DMs are open 🙏🏾#WeAreTrillicon",88,5,5,https://www.linkedin.com/search/results/content/?fromMember=%5B%22ACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w%22%5D&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAABCoUgB_cK37rbmBx2qjF-Y9bhwwbXfD4w&keywords=jason%20mayden&origin=CLUSTER_EXPANSION&position=0&searchId=cb6d576e-b6f1-4598-925b-1ca0b3d88ce3&sid=mta&sortBy=%22date_posted%22
